Source,Relation,Target,Source_Type,Target_Type,Sentence
AA10,encodes,LPMOs,GENE,ENZYME,"Lytic polysaccharide monooxygenases ( LPMOs ) can perform oxidative cleavage of glycosidic bonds in carbohydrate polymers ( e.g. , cellulose , chitin ) , making them more accessible to hydrolytic enzymes . While most studies have so far mainly explored the role of LPMOs in a ( plant ) biomass conversion context , alternative roles and paradigms begin to emerge . The AA10 LPMOs are active on chitin and / or cellulose and mostly found in bacteria and in some viruses and archaea . Interestingly , AA10-encoding genes are also encountered in some pathogenic fungi of the Ustilaginomycetes class , such as Ustilago maydis , responsible for corn smut disease . Transcriptomic studies have shown the overexpression of the AA10 gene during the infectious cycle of U. maydis . In fact , U. maydis has a unique AA10 gene that codes for a catalytic domain appended with a C-terminal disordered region . To date , there is no public report on fungal AA10 LPMOs . In this study , we successfully produced the catalytic domain of this LPMO ( UmAA10_cd ) in Pichia pastoris and carried out its biochemical characterization . Our results show that UmAA10_cd oxidatively cleaves α- and β-chitin with C1 regioselectivity and boosts chitin hydrolysis by a GH18 chitinase from U. maydis ( UmGH18A ) . Using a biologically relevant substrate , we show that UmAA10_cd exhibits enzymatic activity on U. maydis fungal cell wall chitin and promotes its hydrolysis by UmGH18A . These results represent an important step toward the understanding of the role of LPMOs in the fungal cell wall remodeling process during the fungal life cycle ."
LPMO,encodes,LPMOs,GENE,ENZYME,"Lytic polysaccharide monooxygenases ( LPMOs ) can perform oxidative cleavage of glycosidic bonds in carbohydrate polymers ( e.g. , cellulose , chitin ) , making them more accessible to hydrolytic enzymes . While most studies have so far mainly explored the role of LPMOs in a ( plant ) biomass conversion context , alternative roles and paradigms begin to emerge . The AA10 LPMOs are active on chitin and / or cellulose and mostly found in bacteria and in some viruses and archaea . Interestingly , AA10-encoding genes are also encountered in some pathogenic fungi of the Ustilaginomycetes class , such as Ustilago maydis , responsible for corn smut disease . Transcriptomic studies have shown the overexpression of the AA10 gene during the infectious cycle of U. maydis . In fact , U. maydis has a unique AA10 gene that codes for a catalytic domain appended with a C-terminal disordered region . To date , there is no public report on fungal AA10 LPMOs . In this study , we successfully produced the catalytic domain of this LPMO ( UmAA10_cd ) in Pichia pastoris and carried out its biochemical characterization . Our results show that UmAA10_cd oxidatively cleaves α- and β-chitin with C1 regioselectivity and boosts chitin hydrolysis by a GH18 chitinase from U. maydis ( UmGH18A ) . Using a biologically relevant substrate , we show that UmAA10_cd exhibits enzymatic activity on U. maydis fungal cell wall chitin and promotes its hydrolysis by UmGH18A . These results represent an important step toward the understanding of the role of LPMOs in the fungal cell wall remodeling process during the fungal life cycle ."
Oxidases,toward,Wall,ENZYME,SUBSTRATE,The Maize Pathogen Ustilago maydis Secretes Glycoside Hydrolases and Carbohydrate Oxidases Directed toward Components of the Fungal Cell Wall
both,UmGH16_1-A,the,ENZYME,SUBSTRATE,"Filamentous fungi are keystone microorganisms in the regulation of many processes occurring on Earth , such as plant biomass decay and pathogenesis as well as symbiotic associations . In many of these processes , fungi secrete carbohydrate-active enzymes ( CAZymes ) to modify and / or degrade carbohydrates . Ten years ago , while evaluating the potential of a secretome from the maize pathogen Ustilago maydis to supplement lignocellulolytic cocktails , we noticed it contained many unknown or poorly characterized CAZymes . Here , and after reannotation of this data set and detailed phylogenetic analyses , we observed that several CAZymes ( including glycoside hydrolases and carbohydrate oxidases ) are predicted to act on the fungal cell wall ( FCW ) , notably on β-1,3-glucans . We heterologously produced and biochemically characterized two new CAZymes , called UmGH16_1-A and UmAA3_2-A . We show that UmGH16_1-A displays β-1,3-glucanase activity , with a preference for β-1,3-glucans with short β-1,6 substitutions , and UmAA3_2-A is a dehydrogenase catalyzing the oxidation of β-1,3- and β-1,6-gluco-oligosaccharides into the corresponding aldonic acids . Working on model β-1,3-glucans , we show that the linear oligosaccharide products released by UmGH16_1-A are further oxidized by UmAA3_2-A , bringing to light a putative biocatalytic cascade . Interestingly , analysis of available transcriptomics data indicates that both UmGH16_1-A and UmAA3_2-A are coexpressed , only during early stages of U. maydis infection cycle . Altogether , our results suggest that both enzymes are connected and that additional accessory activities still need to be uncovered to fully understand the biocatalytic cascade at play and its physiological role ."
FCW,encodes,both,GENE,ENZYME,"Filamentous fungi are keystone microorganisms in the regulation of many processes occurring on Earth , such as plant biomass decay and pathogenesis as well as symbiotic associations . In many of these processes , fungi secrete carbohydrate-active enzymes ( CAZymes ) to modify and / or degrade carbohydrates . Ten years ago , while evaluating the potential of a secretome from the maize pathogen Ustilago maydis to supplement lignocellulolytic cocktails , we noticed it contained many unknown or poorly characterized CAZymes . Here , and after reannotation of this data set and detailed phylogenetic analyses , we observed that several CAZymes ( including glycoside hydrolases and carbohydrate oxidases ) are predicted to act on the fungal cell wall ( FCW ) , notably on β-1,3-glucans . We heterologously produced and biochemically characterized two new CAZymes , called UmGH16_1-A and UmAA3_2-A . We show that UmGH16_1-A displays β-1,3-glucanase activity , with a preference for β-1,3-glucans with short β-1,6 substitutions , and UmAA3_2-A is a dehydrogenase catalyzing the oxidation of β-1,3- and β-1,6-gluco-oligosaccharides into the corresponding aldonic acids . Working on model β-1,3-glucans , we show that the linear oligosaccharide products released by UmGH16_1-A are further oxidized by UmAA3_2-A , bringing to light a putative biocatalytic cascade . Interestingly , analysis of available transcriptomics data indicates that both UmGH16_1-A and UmAA3_2-A are coexpressed , only during early stages of U. maydis infection cycle . Altogether , our results suggest that both enzymes are connected and that additional accessory activities still need to be uncovered to fully understand the biocatalytic cascade at play and its physiological role ."
of,overall,industrial,ENZYME,SUBSTRATE,"Plant biomass can be converted to bioproducts using fungal enzymatic cocktails that have been improved by the implementation of lytic polysaccharide monooxygenases ( LPMOs ) known to boost cellulases . However , due to the complexity of their oxidative catalysis , it is still difficult to properly control and sustain LPMO activity . Here , we investigated whether the implementation of the natural enzymatic partner of LPMOs , i.e. , cellobiose dehydrogenase ( CDH ) , could be a promising solution . To this end , we reconstituted a minimal cocktail using the main cellulases from Trichoderma reesei and evaluated the impact of the addition of two LPMOs and one CDH on the conversion of wheat straw , miscanthus , pine , and poplar . Surprisingly , while the addition of LPMOs or LPMO / CDH showed little to no increase in glucose equivalent yields , the sole addition of CDH caused an increase of up to 27% ( on miscanthus ) . Interestingly , CDH supplementation allowed tuning of the stream of degradation products toward cellobionic acid while maintaining equivalent yields or increasing the overall conversion yields in a biomass-dependent manner . Our study shows that extracting reasonable amounts of high-value-added oxidized sugars from industrial biomass is feasible , thereby opening new perspectives for the use of CDH in industry ."
CDH,encodes,of,GENE,ENZYME,"Plant biomass can be converted to bioproducts using fungal enzymatic cocktails that have been improved by the implementation of lytic polysaccharide monooxygenases ( LPMOs ) known to boost cellulases . However , due to the complexity of their oxidative catalysis , it is still difficult to properly control and sustain LPMO activity . Here , we investigated whether the implementation of the natural enzymatic partner of LPMOs , i.e. , cellobiose dehydrogenase ( CDH ) , could be a promising solution . To this end , we reconstituted a minimal cocktail using the main cellulases from Trichoderma reesei and evaluated the impact of the addition of two LPMOs and one CDH on the conversion of wheat straw , miscanthus , pine , and poplar . Surprisingly , while the addition of LPMOs or LPMO / CDH showed little to no increase in glucose equivalent yields , the sole addition of CDH caused an increase of up to 27% ( on miscanthus ) . Interestingly , CDH supplementation allowed tuning of the stream of degradation products toward cellobionic acid while maintaining equivalent yields or increasing the overall conversion yields in a biomass-dependent manner . Our study shows that extracting reasonable amounts of high-value-added oxidized sugars from industrial biomass is feasible , thereby opening new perspectives for the use of CDH in industry ."
LPMO,encodes,of,GENE,ENZYME,"Plant biomass can be converted to bioproducts using fungal enzymatic cocktails that have been improved by the implementation of lytic polysaccharide monooxygenases ( LPMOs ) known to boost cellulases . However , due to the complexity of their oxidative catalysis , it is still difficult to properly control and sustain LPMO activity . Here , we investigated whether the implementation of the natural enzymatic partner of LPMOs , i.e. , cellobiose dehydrogenase ( CDH ) , could be a promising solution . To this end , we reconstituted a minimal cocktail using the main cellulases from Trichoderma reesei and evaluated the impact of the addition of two LPMOs and one CDH on the conversion of wheat straw , miscanthus , pine , and poplar . Surprisingly , while the addition of LPMOs or LPMO / CDH showed little to no increase in glucose equivalent yields , the sole addition of CDH caused an increase of up to 27% ( on miscanthus ) . Interestingly , CDH supplementation allowed tuning of the stream of degradation products toward cellobionic acid while maintaining equivalent yields or increasing the overall conversion yields in a biomass-dependent manner . Our study shows that extracting reasonable amounts of high-value-added oxidized sugars from industrial biomass is feasible , thereby opening new perspectives for the use of CDH in industry ."
oxidases,unlock,degradation,ENZYME,SUBSTRATE,Lytic xylan oxidases from wood-decay fungi unlock biomass degradation
cocktails,degradation,biomass,ENZYME,SUBSTRATE,"Wood biomass is the most abundant feedstock envisioned for the development of modern biorefineries . However , the cost-effective conversion of this form of biomass into commodity products is limited by its resistance to enzymatic degradation . Here we describe a new family of fungal lytic polysaccharide monooxygenases ( LPMOs ) prevalent among white-rot and brown-rot basidiomycetes that is active on xylans — a recalcitrant polysaccharide abundant in wood biomass . Two AA14 LPMO members from the white-rot fungus Pycnoporus coccineus substantially increase the efficiency of wood saccharification through oxidative cleavage of highly refractory xylan-coated cellulose fibers . The discovery of this unique enzyme activity advances our knowledge on the degradation of woody biomass in nature and offers an innovative solution for improving enzyme cocktails for biorefinery applications ."
AA9,conversion,cellulose,ENZYME,SUBSTRATE,"The understanding of enzymatic polysaccharide degradation has progressed intensely in the past few years with the identification of a new class of fungal-secreted enzymes , the lytic polysaccharide monooxygenases ( LPMOs ) that enhance cellulose conversion . In the fungal kingdom , saprotrophic fungi display a high number of genes encoding LPMOs from family AA9 but the functional relevance of this redundancy is not fully understood ."
cocktail,degrading,biomass,ENZYME,SUBSTRATE,"Lignocellulosic biomass is considered as a promising alternative to fossil resources for the production of fuels , materials and chemicals . Efficient enzymatic systems are needed to degrade the plant cell wall and overcome its recalcitrance . A widely used producer of cellulolytic cocktails is the ascomycete Trichoderma reesei , but this organism secretes a limited set of enzymes . To improve the saccharification yields , one strategy is to upgrade the T. reesei enzyme cocktail with enzymes produced by other biomass - degrading filamentous fungi isolated from biodiversity ."
enzyme,conversion,cellulose,ENZYME,SUBSTRATE,A metagenomic ‘ dark matter ’ enzyme catalyses oxidative cellulose conversion
enzymatic,conversion,residues,ENZYME,SUBSTRATE,"The breakdown of cellulose is one of the most important reactions in Nature and is central to biomass conversion to fuels and chemicals . However , the microfibrillar organization of cellulose and its complex interactions with other components of the plant cell wall poses a major challenge for enzymatic conversion . Here , by mining the metagenomic ‘ dark matter ’ ( unclassified DNA with unknown function ) of a microbial community specialized in lignocellulose degradation , we discovered a metalloenzyme that oxidatively cleaves cellulose . This metalloenzyme acts on cellulose through an exo-type mechanism with C1 regioselectivity , resulting exclusively in cellobionic acid as a product . The crystal structure reveals a catalytic copper buried in a compact jelly-roll scaffold that features a flattened cellulose binding site . This metalloenzyme exhibits a homodimeric configuration that enables in situ hydrogen peroxide generation by one subunit while the other is productively interacting with cellulose . The secretome of an engineered strain of the fungus Trichoderma reesei expressing this metalloenzyme boosted the glucose release from pretreated lignocellulosic biomass under industrially relevant conditions , demonstrating its biotechnological potential . This discovery modifies the current understanding of bacterial redox enzymatic systems devoted to overcoming biomass recalcitrance . Furthermore , it enables the conversion of agro-industrial residues into value-added bioproducts , thereby contributing to the transition to a sustainable and bio-based economy ."
DNA,encodes,enzymatic,GENE,ENZYME,"The breakdown of cellulose is one of the most important reactions in Nature and is central to biomass conversion to fuels and chemicals . However , the microfibrillar organization of cellulose and its complex interactions with other components of the plant cell wall poses a major challenge for enzymatic conversion . Here , by mining the metagenomic ‘ dark matter ’ ( unclassified DNA with unknown function ) of a microbial community specialized in lignocellulose degradation , we discovered a metalloenzyme that oxidatively cleaves cellulose . This metalloenzyme acts on cellulose through an exo-type mechanism with C1 regioselectivity , resulting exclusively in cellobionic acid as a product . The crystal structure reveals a catalytic copper buried in a compact jelly-roll scaffold that features a flattened cellulose binding site . This metalloenzyme exhibits a homodimeric configuration that enables in situ hydrogen peroxide generation by one subunit while the other is productively interacting with cellulose . The secretome of an engineered strain of the fungus Trichoderma reesei expressing this metalloenzyme boosted the glucose release from pretreated lignocellulosic biomass under industrially relevant conditions , demonstrating its biotechnological potential . This discovery modifies the current understanding of bacterial redox enzymatic systems devoted to overcoming biomass recalcitrance . Furthermore , it enables the conversion of agro-industrial residues into value-added bioproducts , thereby contributing to the transition to a sustainable and bio-based economy ."
CAZymes,breakdown,lignocellulose,ENZYME,SUBSTRATE,The integrative omics of white-rot fungus Pycnoporus coccineus reveals co-regulated CAZymes for orchestrated lignocellulose breakdown
of,the,transcriptional,ENZYME,SUBSTRATE,"Innovative green technologies are of importance for converting plant wastes into renewable sources for materials , chemicals and energy . However , recycling agricultural and forestry wastes is a challenge . A solution may be found in the forest . Saprotrophic white-rot fungi are able to convert dead plants into consumable carbon sources . Specialized fungal enzymes can be utilized for breaking down hard plant biopolymers . Thus , understanding the enzymatic machineries of such fungi gives us hints for the efficient decomposition of plant materials . Using the saprotrophic white-rot fungus Pycnoporus coccineus as a fungal model , we examined the dynamics of transcriptomic and secretomic responses to different types of lignocellulosic substrates at two time points . Our integrative omics pipeline ( SHIN+GO ) enabled us to compress layers of biological information into simple heatmaps , allowing for visual inspection of the data . We identified co-regulated genes with corresponding co-secreted enzymes , and the biological roles were extrapolated with the enriched Carbohydrate-Active Enzyme ( CAZymes ) and functional annotations . We observed the fungal early responses for the degradation of lignocellulosic substrates including ; 1 ) simultaneous expression of CAZy genes and secretion of the enzymes acting on diverse glycosidic bonds in cellulose , hemicelluloses and their side chains or lignin ( i.e. hydrolases , esterases and oxido-reductases ) ; 2 ) the key role of lytic polysaccharide monooxygenases ( LPMO ) ; 3 ) the early transcriptional regulation of lignin active peroxidases ; 4 ) the induction of detoxification processes dealing with biomass-derived compounds ; and 5 ) the frequent attachments of the carbohydrate binding module 1 ( CBM1 ) to enzymes from the lignocellulose-responsive genes . Our omics combining methods and related biological findings may contribute to the knowledge of fungal systems biology and facilitate the optimization of fungal enzyme cocktails for various industrial applications ."
SHIN+GO,encodes,of,GENE,ENZYME,"Innovative green technologies are of importance for converting plant wastes into renewable sources for materials , chemicals and energy . However , recycling agricultural and forestry wastes is a challenge . A solution may be found in the forest . Saprotrophic white-rot fungi are able to convert dead plants into consumable carbon sources . Specialized fungal enzymes can be utilized for breaking down hard plant biopolymers . Thus , understanding the enzymatic machineries of such fungi gives us hints for the efficient decomposition of plant materials . Using the saprotrophic white-rot fungus Pycnoporus coccineus as a fungal model , we examined the dynamics of transcriptomic and secretomic responses to different types of lignocellulosic substrates at two time points . Our integrative omics pipeline ( SHIN+GO ) enabled us to compress layers of biological information into simple heatmaps , allowing for visual inspection of the data . We identified co-regulated genes with corresponding co-secreted enzymes , and the biological roles were extrapolated with the enriched Carbohydrate-Active Enzyme ( CAZymes ) and functional annotations . We observed the fungal early responses for the degradation of lignocellulosic substrates including ; 1 ) simultaneous expression of CAZy genes and secretion of the enzymes acting on diverse glycosidic bonds in cellulose , hemicelluloses and their side chains or lignin ( i.e. hydrolases , esterases and oxido-reductases ) ; 2 ) the key role of lytic polysaccharide monooxygenases ( LPMO ) ; 3 ) the early transcriptional regulation of lignin active peroxidases ; 4 ) the induction of detoxification processes dealing with biomass-derived compounds ; and 5 ) the frequent attachments of the carbohydrate binding module 1 ( CBM1 ) to enzymes from the lignocellulose-responsive genes . Our omics combining methods and related biological findings may contribute to the knowledge of fungal systems biology and facilitate the optimization of fungal enzyme cocktails for various industrial applications ."
LPMO,encodes,of,GENE,ENZYME,"Innovative green technologies are of importance for converting plant wastes into renewable sources for materials , chemicals and energy . However , recycling agricultural and forestry wastes is a challenge . A solution may be found in the forest . Saprotrophic white-rot fungi are able to convert dead plants into consumable carbon sources . Specialized fungal enzymes can be utilized for breaking down hard plant biopolymers . Thus , understanding the enzymatic machineries of such fungi gives us hints for the efficient decomposition of plant materials . Using the saprotrophic white-rot fungus Pycnoporus coccineus as a fungal model , we examined the dynamics of transcriptomic and secretomic responses to different types of lignocellulosic substrates at two time points . Our integrative omics pipeline ( SHIN+GO ) enabled us to compress layers of biological information into simple heatmaps , allowing for visual inspection of the data . We identified co-regulated genes with corresponding co-secreted enzymes , and the biological roles were extrapolated with the enriched Carbohydrate-Active Enzyme ( CAZymes ) and functional annotations . We observed the fungal early responses for the degradation of lignocellulosic substrates including ; 1 ) simultaneous expression of CAZy genes and secretion of the enzymes acting on diverse glycosidic bonds in cellulose , hemicelluloses and their side chains or lignin ( i.e. hydrolases , esterases and oxido-reductases ) ; 2 ) the key role of lytic polysaccharide monooxygenases ( LPMO ) ; 3 ) the early transcriptional regulation of lignin active peroxidases ; 4 ) the induction of detoxification processes dealing with biomass-derived compounds ; and 5 ) the frequent attachments of the carbohydrate binding module 1 ( CBM1 ) to enzymes from the lignocellulose-responsive genes . Our omics combining methods and related biological findings may contribute to the knowledge of fungal systems biology and facilitate the optimization of fungal enzyme cocktails for various industrial applications ."
CBM1,encodes,of,GENE,ENZYME,"Innovative green technologies are of importance for converting plant wastes into renewable sources for materials , chemicals and energy . However , recycling agricultural and forestry wastes is a challenge . A solution may be found in the forest . Saprotrophic white-rot fungi are able to convert dead plants into consumable carbon sources . Specialized fungal enzymes can be utilized for breaking down hard plant biopolymers . Thus , understanding the enzymatic machineries of such fungi gives us hints for the efficient decomposition of plant materials . Using the saprotrophic white-rot fungus Pycnoporus coccineus as a fungal model , we examined the dynamics of transcriptomic and secretomic responses to different types of lignocellulosic substrates at two time points . Our integrative omics pipeline ( SHIN+GO ) enabled us to compress layers of biological information into simple heatmaps , allowing for visual inspection of the data . We identified co-regulated genes with corresponding co-secreted enzymes , and the biological roles were extrapolated with the enriched Carbohydrate-Active Enzyme ( CAZymes ) and functional annotations . We observed the fungal early responses for the degradation of lignocellulosic substrates including ; 1 ) simultaneous expression of CAZy genes and secretion of the enzymes acting on diverse glycosidic bonds in cellulose , hemicelluloses and their side chains or lignin ( i.e. hydrolases , esterases and oxido-reductases ) ; 2 ) the key role of lytic polysaccharide monooxygenases ( LPMO ) ; 3 ) the early transcriptional regulation of lignin active peroxidases ; 4 ) the induction of detoxification processes dealing with biomass-derived compounds ; and 5 ) the frequent attachments of the carbohydrate binding module 1 ( CBM1 ) to enzymes from the lignocellulose-responsive genes . Our omics combining methods and related biological findings may contribute to the knowledge of fungal systems biology and facilitate the optimization of fungal enzyme cocktails for various industrial applications ."
cellulases,conversion,biomass,ENZYME,SUBSTRATE,Engineering cellulases for conversion of lignocellulosic biomass
robust,depolymerization,biomass,ENZYME,SUBSTRATE,"Lignocellulosic biomass is a renewable source of energy , chemicals and materials . Many applications of this resource require the depolymerization of one or more of its polymeric constituents . Efficient enzymatic depolymerization of cellulose to glucose by cellulases and accessory enzymes such as lytic polysaccharide monooxygenases is a prerequisite for economically viable exploitation of this biomass . Microbes produce a remarkably diverse range of cellulases , which consist of glycoside hydrolase ( GH ) catalytic domains and , although not in all cases , substrate-binding carbohydrate-binding modules ( CBMs ) . As enzymes are a considerable cost factor , there is great interest in finding or engineering improved and robust cellulases , with higher activity and stability ."
